area,sido,pop10,pop18,pop20,grdp10,grdp18,grdp20
1,서울특별시,10312545,9765623,9668465,313281,423742,440320
2,부산광역시,3567910,3441453,3391946,66831,89980,91698
3,대구광역시,2511676,2461769,2418346,40617,56714,57961
1,인천광역시,2758296,2954642,2942828,63266,88735,90046
5,광주광역시,1454636,1459336,1450062,27882,39805,41646
4,대전광역시,1503664,1489936,1463882,30225,41308,44103
2,울산광역시,1126298,1155623,1136017,61090,73648,68611
4,세종특별자치시,,314126,355831,,11102,12670
1,경기도,11786622,13077153,13427014,278532,479822,486675
6,강원도,1529818,1543052,1542840,31729,46926,48839
4,충청북도,1549528,1599252,1600837,40324,69637,71299
4,충청남도,2075514,2126282,2121029,85105,115534,114017
5,전라북도,1868963,1836832,1804104,37741,50595,53178
5,전라남도,1918485,1882970,1851549,61793,75425,78105
3,경상북도,2689920,2676831,2639422,87701,108783,105250
2,경상남도,3290536,3373988,3340216,90168,110720,112093
7,제주특별자치도,571255,667191,674635,11159,20051,19532
